current;past;year
ta110;to add 4;2022
ta111;Alfred-aebi-strasse-1;2022
ta112;Zukunftstrasse-madretschkanal-1;2022
ta112;Zentralstrasse-madretschkanal-1;2022
ta112;Zukunftstrasse-1;2022
ta113;Zukunftstrasse-madretschkanal-2;2022
ta114;bstrasse1;2022
ta115;nouri3;2022
ta116;Bielstrasse-berm-4;2022
ta117;Portplatz-box-1;2022
ta118;Bermenstrasse-berm-5;2022
ta119;Bermenstrasse-2;2022
ta120;Klinik-1;2022
ta121;Blumenrain-area-1;2022
ta122;TO ADD-3;2022
ta123;Alfred-aebi-strasse-area-1;2022
ta123;Alfred-aebi-strasse-area-2;2022
ta123;Alfred-aebi-strasse-area-3;2022
ta124;Freiburgstrasse-madretschkanal-1;2022
ta125;nouri4;2022
ta126;nouri2;2022
ta127;Bielstrasse-berm-2;2022
ta128;Bielstrasse-1;2022
ta129;Bielstrasse-2;2022
ta130;Lokomotivdepot-berm-1;2022
ta130;Cffdepot-berm-1;2022
ta131;Lokomotivdepot-area-2;2022
ta132;Lokomotivdepot-area-1;2022
ta133;Lokomotivdepot-berm-2;2022
ta134;Muehlefeldweg-berm-1;2022
ta135;Muehlefeldweg-berm-4;2022
ta136;TO ADD;2022
ta137;Sbb-area-4;2022
ta138;Schneidergaessli-1;2022
ta139;Kongresshaus-box-2;2022
ta104;cts2;2022
ta104;cts1;2022
ta140;ta20;2022
ta140;ta21;2022
ta140;ta22;2022
ta141;Salome-madretdchkanal-1;2022
ta142;Salome-madretschkanal-2;2022
ta27;Cygnes-cff-1;2022
ta143;Parc-muni-1;2022
ta143;Parc-muni-2;2022
ta144;Propsteiweg-1;2022
ta145;Schossli-1;2022
ta146;Cff-2;2022
ta23;ta24;2022
ta23;ta25;2022
ta147;Obererquai-box-3;2022
ta147;Obererquai-box-1;2022
ta147;Obererquai-box-2;2022
ta148;Hazelnut tree;2022
ta149;Bahnweg-madretschkanal-1;2022
ta149;Bahnweg-madretschkanal-2;2022
ta150;Bahnweg-madretschkanal-3;2022
ta150;Bahnweg-madretschkanal-4;2022
ta151;Bahnweg-madretschkanal-7;2022
ta151;Bahnweg-madretschkanal-8;2022
ta152;Alleestrasse-madretschkanal-1;2022
ta152;Alleestrasse-madretschkanal-2;2022
ta153;Alleestrasse-madretschkanal-3;2022
ta154;School-2;2022
ta155;Sonnhalde-1;2022
ta155;Sonnhalde-2;2022
ta156;Sonnhalde-3;2022
ta157;Mettmoos-1;2022
ta158;Mettmoos-2;2022
ta159;Mettmoos-3;2022
ta159;Mettmoos-4;2022
ta159;Mettmoos-5;2022
ta160;Tloch-1;2022
ta161;Tloch-2;2022
ta162;Tloch-3;2022
ta163;Skatepark-1;2022
ta23;holunderweg-Madretschkanal-3;2021
ta23;holunderweg-Madretschkanal-4;2021
ta23;holunderweg-Madretschkanal-5;2021
ta79;Schleusenweg-suze-1;2021
ta79;Schleusenweg-suze-2;2021
ta79;Schleusenweg-suze-3;2021
ta11;fussweg-Suze-2;2021
ta71;Schwanengasse-Madretchkanal-1;2021
ta71;Schwanengasse-Madretchkanal-2;2021
ta27;cygnes-cff-2;2021
ta106;cygnes-cff-1;2021
ta140;Schwanengasse-area-1;2021
ta140;Schwanengasse-area-2;2021
ta140;Schwanengasse-area-3;2021
ta140;Schwanengasse-area-5;2021
ta140;Schwanengasse-area-6;2021
ta29;alleestrasse-lot-1;2021
ta136;Muehlefeldweg-Berm-2;2021
ta136;Muehlefeldweg-Berm-3;2021
