,Latein,Black List / Watch List 2014,Ordonnonce sur la dissémination des organismes (ODE),threats,places,habitat,slug
0,Abutilon theophrasti Medik.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '1']]","[['Jura', '1'], ['Plateau', '1']]","['7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",abutilontheophrasti
1,Ailanthus altissima (Mill.) Swingle,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '2'], ['Plateau', '3']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",ailanthusaltissima
2,Ambrosia artemisiifolia L.,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '1']]","[['Jura', '3'], ['Plateau', '3']]","['4 Pelouses et prairies', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",ambrosiaartemisiifolia
3,Amorpha fruticosa L.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '1']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés']",amorphafruticosa
4,Artemisia verlotiorum Lamotte,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '2'], ['Plateau', '3']]","['6 Forêts', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",artemisiaverlotiorum
5,Asclepias syriaca L.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '1']]","['7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",asclepiassyriaca
6,Buddleja davidii Franch.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['2 Rivages et lieu humides', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",buddlejadavidii
7,Bunias orientalis L.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '2']]","[['Jura', '3'], ['Plateau', '2']]","['4 Pelouses et prairies', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",buniasorientalis
8,Cabomba caroliniana A. Gray,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['non établi en Suisse', '1']]",['1 Eaux libres'],cabombacaroliniana
9,Crassula helmsii (Kirk) Cockayne,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['non établi en Suisse', '1']]",['1 Eaux libres'],crassulahelmsii
10,Cyperus esculentus L.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '0']]","[['Jura', '1'], ['Plateau', '2']]","['4 Pelouses et prairies', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures']",cyperusesculentus
11,Echinocystis lobata (Michx.) Torr. & A. Gray,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['non établi en Suisse', '1']]","['2 Rivages et lieu humides', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures']",echinocystislobata
12,Elodea canadensis Michx.,BL,-,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]",['1 Eaux libres'],elodeacanadensis
13,Elodea nuttallii (Planch.) H. St. John,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '3']]",['1 Eaux libres'],elodeanuttallii
14,Erigeron annuus (L.) Desf. s.l.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['4 Pelouses et prairies', '7 Végétations pionnières des endroits perturbés', '8 Plantations, champs, cultures', '9 Milieux construits']",erigeronannuus
15,Heracleum mantegazzianum Sommier & Levier,BL,ODE,"[[""Potentiel d'expansion"", '2'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['2 Rivages et lieu humides', '5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés', '9 Milieux construits']",heracleummantegazzianum
16,Hydrocotyle ranunculoides L. f.,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['non établi en Suisse', '1']]","['1 Eaux libres', '2 Rivages et lieu humides']",hydrocotyleranunculoides
17,Impatiens glandulifera Royle,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '3'], ['Plateau', '3']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts', '7 Végétations pionnières des endroits perturbés']",impatiensglandulifera
18,Lonicera henryi Hemsl.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Plateau', '2']]",['6 Forêts'],lonicerahenryi
19,Lonicera japonica Thunb.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '2']]","['5 Landes, lisières et mégaphorbiaies', '6 Forêts']",lonicerajaponica
20,Ludwigia grandiflora (Michx.) Greuter & Burdet,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Plateau', '1']]",['1 Eaux libres'],ludwigiagrandiflora
21,Ludwigia peploides (Kunth)  P. H. Raven,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['non établi en Suisse', '1']]",['1 Eaux libres'],ludwigiapeploides
22,Lupinus polyphyllus Lindl.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '1']]","['4 Pelouses et prairies', '5 Landes, lisières et mégaphorbiaies', '6 Forêts']",lupinuspolyphyllus
23,Myriophyllum aquaticum (Vell.) Verdc.,BL,-,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '1']]",['1 Eaux libres'],myriophyllumaquaticum
24,Polygonum polystachyum Meisn.,BL,ODE,"[[""Potentiel d'expansion"", '3'], ['écologie, biodiversité', '3']]","[['Jura', '1'], ['Plateau', '2']]","['5 Landes, lisières et mégaphorbiaies', '7 Végétations pionnières des endroits perturbés']",polygonumpolystachyum
