,taxon_orig,x,y,locality_descript,obs_id,date
0,Poaceae,7.2518259,47.13216648,Ta1,11432786,2022-02-27 08:43:30
1,Poaceae,7.25331184,47.13165246,Ta2,11432784,2022-02-27 08:48:13
2,Poaceae,7.25292049,47.13227415,Ta3,11432777,2022-02-27 08:54:58
3,Poaceae,7.26220571,47.13853413,Ta4,11432764,2022-02-27 14:25:15
4,Poaceae,7.25872295,47.12661762,Ta5,11432751,2022-02-28 09:09:49
5,Poaceae,7.2589123,47.12669008,Ta6,11432744,2022-02-28 09:16:45
6,Poaceae,7.24642997,47.12872047,Ta7,11432737,2022-02-28 15:45:49
7,Poaceae,7.24626887,47.1287421,Ta8,11432728,2022-02-28 15:55:40
8,Poaceae,7.24585933,47.12833436,Ta9,11432721,2022-02-28 16:00:25
9,Poaceae,7.24235376,47.12832824,Ta10,11432714,2022-03-01 09:02:04
10,Poaceae,7.26127884,47.14330335,Ta11,11432712,2022-03-01 16:17:10
11,Poaceae,7.23888927,47.13408766,Ta12,11432706,2022-03-02 10:20:15
12,Poaceae,7.23756275,47.13627827,Ta13,11432703,2022-03-02 10:27:36
13,Poaceae,7.23782502,47.1349023,Ta14,11432699,2022-03-02 10:32:17
14,Poaceae,7.23979879,47.13490749,Ta16,11432690,2022-03-02 10:42:59
15,Poaceae,7.2397801,47.13491818,Ta17,11432682,2022-03-02 11:21:32
16,Poaceae,7.23975722,47.13435093,Ta18,11432676,2022-03-02 11:26:53
17,Poaceae,7.25289945,47.13736989,Ta20,11432659,2022-03-05 17:30:18
18,Poaceae,7.25301404,47.13757583,Ta21,11432655,2022-03-05 17:31:20
19,Poaceae,7.25316089,47.13732592,Ta22,11432644,2022-03-05 17:37:22
20,Poaceae,7.25421516,47.13966426,Ta23,11432642,2022-03-05 17:49:09
21,Poaceae,7.25535762,47.14001706,Ta24,11432638,2022-03-05 17:54:21
22,Poaceae,7.25604745,47.14026156,Ta25,11432632,2022-03-05 17:59:13
23,Poaceae,7.25682478,47.13388389,Ta26,11432620,2022-03-06 08:55:35
24,Poaceae,7.25460249,47.13801923,Ta27,11432618,2022-03-06 09:04:15
25,Poaceae,7.25165332,47.13666857,Ta28,11432616,2022-03-06 09:11:50
26,Poaceae,7.25280642,47.13686714,Ta29,11432607,2022-03-06 09:28:37
27,Poaceae,7.25443929,47.13700226,Ta30,11432599,2022-03-06 16:33:03
28,Poaceae,7.27028922,47.14737914,Ta31,11432597,2022-03-07 16:11:22
29,Poaceae,7.27090378,47.14785611,Ta31,11432588,2022-03-07 16:18:48
30,Poaceae,7.27121207,47.1481426,Ta32,11432583,2022-03-07 16:24:38
31,Poaceae,7.25938068,47.13763211,Ta33,11432580,2022-03-08 18:00:30
32,Poaceae,7.25804561,47.13826046,Ta34,11432575,2022-03-08 18:06:17
33,Poaceae,7.24722583,47.13155171,Ta35,11432572,2022-03-09 11:15:02
34,Poaceae,7.24679626,47.13166831,Ta36,11432569,2022-03-09 11:19:14
35,Poaceae,7.24663599,47.13193397,,11432564,2022-03-09 11:27:45
36,Poaceae,7.24615429,47.13189076,Ta38,11432562,2022-03-09 11:30:29
37,Poaceae,7.26148286,47.14323969,Ta39,11432554,2022-03-10 10:51:31
38,Poaceae,7.26281466,47.14399792,Ta40,11432546,2022-03-10 11:04:28
39,Poaceae,7.26315086,47.12587524,Ta41,11432535,2022-03-10 18:17:56
40,Poaceae,7.26344498,47.12608374,Ta42,11432523,2022-03-10 18:27:03
41,Poaceae,7.23437327,47.13564451,TA44,11432507,2022-03-12 13:37:33
42,Poaceae,7.25772701,47.13352083,TA45,11432490,2022-03-12 17:06:44
43,Poaceae,7.25875564,47.13178737,TA46,11432477,2022-03-12 17:25:35
44,Poaceae,7.26457268,47.13872604,TA47,11432459,2022-03-13 11:01:47
45,Poaceae,7.26458064,47.14007095,TA48,11432447,2022-03-13 11:13:00
46,Poaceae,7.26331715,47.1399573,TA49,11432434,2022-03-13 11:27:57
47,Poaceae,7.2391134,47.12711094,TA50,11432426,2022-03-14 13:09:14
48,Poaceae,7.27139622,47.15040106,TA52,11432414,2022-03-14 16:08:06
49,Poaceae,7.27067227,47.1513302,TA53,11432405,2022-03-14 16:17:43
50,Poaceae,7.24000574,47.12928998,TA54,11432395,2022-03-16 10:59:39
51,Poaceae,7.24098332,47.12810738,TA56,11432380,2022-03-16 11:28:59
52,Poaceae,7.26151664,47.14317502,TA57,11432371,2022-03-17 08:47:52
53,Poaceae,7.26049363,47.1379689,TA58,11432365,2022-03-19 17:43:50
54,Poaceae,7.2602016,47.13745861,TA59,11432359,2022-03-19 17:53:09
55,Poaceae,7.26055926,47.13781861,TA60,11432351,2022-03-19 18:00:58
56,Poaceae,7.25959743,47.1275789,TA61,11432341,2022-03-20 08:41:13
57,Poaceae,7.25825273,47.12770027,TA62,11432334,2022-03-20 08:45:58
58,Poaceae,7.24539421,47.14880766,TA63,11432323,2022-03-20 13:50:02
59,Poaceae,7.22573681,47.13416498,TA64,11432314,2022-03-22 10:42:31
60,Poaceae,7.25910206,47.12275051,TA65,11432301,2022-03-22 17:15:13
61,Poaceae,7.26174823,47.12447647,TA66,11432287,2022-03-22 17:42:42
62,Poaceae,7.26598922,47.1448232,TA67,11432276,2022-03-24 10:53:54
63,Poaceae,7.25862312,47.12931354,TA69,11432262,2022-03-26 09:34:36
64,Poaceae,7.25936299,47.12819627,TA70,11432246,2022-03-26 09:53:33
65,Poaceae,7.25270005,47.13599018,Alleestrasse-madretschkanal-1,11432239,2022-03-26 17:03:14
66,Poaceae,7.25266283,47.13634922,Alleestrasse-madretschkanal-2,11432236,2022-03-26 17:07:54
67,Poaceae,7.25266166,47.13656996,Alleestrasse-madretschkanal-3,11432234,2022-03-26 17:09:57
68,Poaceae,7.25275068,47.13743447,TA71,11432223,2022-03-26 17:25:18
69,Poaceae,7.25269712,47.13732379,TA72,11432219,2022-03-26 17:28:32
70,Poaceae,7.25642773,47.14036176,TA73,11432210,2022-03-26 17:59:25
71,Poaceae,7.24641295,47.12864734,TA9,11432128,2022-03-28 12:17:19
