,obs_id,date,x,y,taxon.taxon_id,taxon.no_isfs,taxon_orig,municipality.name,phenology,locality_descript,specimen_type,v_co_canton,xy_precision,altitude_min,cover,md,slug
54,11829188,2022-05-15 12:30:52,585037.4,220459.87,1070009,,Poaceae,Biel/Bienne,5.0,ta43,D,BE,3.0,436.0,16.0,2022-05-15 12:30:52,poaceae
69,11829173,2022-05-15 12:54:47,584922.09,220459.32,1070009,,Poaceae,Biel/Bienne,,ta17,D,BE,3.0,434.3,15.0,2022-05-15 12:54:47,poaceae
84,11829158,2022-05-15 13:09:21,584799.31,220411.46,1070009,,Poaceae,Biel/Bienne,5.0,ta12,,BE,5.5,434.2,16.0,2022-05-15 13:09:21,poaceae
99,11805565,2022-05-09 10:41:21,585412.3,219761.54,1070009,,Poaceae,Nidau,5.0,ta7,D,BE,3.0,433.2,16.0,2022-05-09 10:41:21,poaceae
104,11805560,2022-05-09 10:46:48,585322.31,219644.47,1070009,,Poaceae,Nidau,5.0,ta166,D,BE,2.5,431.8,16.0,2022-05-09 10:46:48,poaceae
139,11805525,2022-05-09 11:24:26,585789.97,220094.88,1070009,,Poaceae,Biel/Bienne,4.0,ta167,,BE,3.5,438.2,14.0,2022-05-09 11:24:26,poaceae
154,11802649,2022-05-01 09:25:02,586623.96,219367.07,1070009,,Poaceae,Brügg,5.0,ta116,D,BE,3.0,439.5,14.0,2022-05-01 09:25:02,poaceae
173,11802630,2022-05-01 09:45:11,586588.75,219386.84,1070009,,Poaceae,Biel/Bienne,5.0,ta127,,BE,3.5,439.2,15.0,2022-05-01 09:45:11,poaceae
209,11802594,2022-05-07 19:41:03,585938.05,220741.81,1070009,,Poaceae,Biel/Bienne,5.0,ta140,D,BE,2.5,437.6,13.0,2022-05-07 19:41:03,poaceae
229,11802574,2022-05-07 20:16:41,585405.6,219754.26,1070009,,Poaceae,Nidau,5.0,ta8,D,BE,3.5,433.2,16.0,2022-05-07 20:16:41,poaceae
254,11802549,2022-05-08 09:10:56,586059.2,219933.83,1070009,,Poaceae,Biel/Bienne,5.0,ta130,D,BE,2.5,436.3,16.0,2022-05-08 09:10:56,poaceae
