,Taxon ID,Taxon ID InfoSpecies,Taxon Name,Habitatkombination,Jura,Mittelland,habitat,Kollin,Montan,JU,BE,Priorität,Verantwortung,protection
0, ID taxon,Taxon ID InfoSpecies,nom du taxon,Combinaison d'habitats,Jura,Plateau,[],collinéen,montagnard,JU,BE,priorité,responsabilité,"['Waldzielart', 'Landwirtschaftl. UZL-Art', 'Endemische Art', 'Smaragd- Art', 'Geschützte Art NHV']"
1,14200,infofauna:14200,"Gelyella monardi Moeschler & Rouch, 1988",0,A,0,[1],B,0,0,0,1,4,['Endemische Art']
2,14202,infofauna:14202,"Stygepactophanes jurassicus Moeschler & Rouch, 1984",0,B,0,[1],B,B,B,0,1,4,['Endemische Art']
3,14500,infofauna:14500,"Astacus astacus Linnaeus, 1758",0,B,A,[1],A,A,0,A,3,2,[]
4,14502,infofauna:14502,"Austropotamobius pallipes Lereboullet, 1858",0,A,A,[1],A,A,A,A,2,2,['Smaragd- Art']
5,14503,infofauna:14503,"Austropotamobius torrentium Schrank, 1803",0,B,A,[1],A,A,0,0,2,2,[]
6,17001,infofauna:17001,"Acentrella sinaica Bogoescu, 1931",0,0,A,[1],A,A,0,A,1,2,[]
7,17002,infofauna:17002,"Ameletus inopinatus Eaton, 1887",0,A,A,[1],A,A,0,0,1,2,[]
8,17004,infofauna:17004,"Baetis buceratus Eaton, 1870",0,A,A,[1],A,A,B,0,4,1,[]
9,17006,infofauna:17006,"Baetis liebenauae Keffermüller, 1974",0,A,A,[1],A,A,0,0,3,2,[]
10,17008,infofauna:17008,"Baetis melanonyx (Pictet, 1843)",0,A,A,[1],A,A,0,A,4,2,[]
11,17010,infofauna:17010,"Nigrobaetis niger (Linné, 1761)",0,A,B,[1],A,A,0,0,1,2,[]
12,17011,infofauna:17011,"Baetis nubecularis Eaton, 1898",0,A,0,[1],A,A,A,A,2,3,[]
13,17016,infofauna:17016,"Caenis beskidensis Sowa, 1973",0,A,A,[1],A,A,A,A,4,1,[]
14,17018,infofauna:17018,"Caenis lactea (Burmeister, 1839)",0,A,A,[1],A,A,0,0,3,2,[]
15,17021,infofauna:17021,"Caenis pusilla Navas, 1913",0,0,A,[1],A,0,0,0,1,2,[]
16,17022,infofauna:17022,"Caenis rivulorum Eaton, 1884",0,A,A,[1],A,A,0,0,3,1,[]
17,17025,infofauna:17025,"Choroterpes picteti Eaton, 1871",0,0,A,[1],A,D,0,A,3,1,[]
