,ID_ISFS,FAMILY,GENUS,Scientific name,CH,crit_CH,JU,crit_JU,MP,crit_MP
0,100,Pinaceae,Abies,Abies alba,LC,,LC,,LC,
1,300,Sapindaceae,Acer,Acer campestre,LC,,LC,,LC,
2,600,Sapindaceae,Acer,Acer opalus,LC,,LC,,NT,['C']
3,700,Sapindaceae,Acer,Acer platanoides,LC,,LC,,LC,
4,800,Sapindaceae,Acer,Acer pseudoplatanus,LC,,LC,,LC,
5,900,Orchidaceae,Aceras,Aceras anthropophorum,NT,['B'],NT,"['A', 'B']",VU,"['A', 'B']"
6,1000,Asteraceae,Achillea,Achillea atrata,LC,,-,,-,
7,1100,Asteraceae,Achillea,Achillea clavenae,VU,['C'],-,,-,
8,1200,Asteraceae,Achillea,Achillea collina,VU,['A'],-,,DD,
9,1500,Asteraceae,Achillea,Achillea erba-rotta subsp. moschata,LC,,-,,-,
10,1600,Asteraceae,Achillea,Achillea macrophylla,LC,,-,,-,
11,1700,Asteraceae,Achillea,Achillea millefolium,LC,,LC,,LC,
12,1706,Asteraceae,Achillea,Achillea millefolium aggr.,LC,,LC,,LC,
13,1900,Asteraceae,Achillea,Achillea nana,LC,,-,,-,
14,2000,Asteraceae,Achillea,Achillea nobilis,NT,['B'],EN,['C'],EN,['C']
15,2150,Asteraceae,Achillea,Achillea pratensis,DD,,NE,,NE,
16,2200,Asteraceae,Achillea,Achillea ptarmica,VU,['A'],VU,['A'],VU,['A']
17,2300,Asteraceae,Achillea,Achillea roseoalba,LC,,-,,,
18,2400,Asteraceae,Achillea,Achillea setacea,LC,,-,,-,
19,2500,Asteraceae,Achillea,Achillea stricta,NT,['B'],-,,-,
20,2600,Asteraceae,Achillea,Achillea tomentosa,NT,"['B', 'B']",-,,-,
21,2700,Poaceae,Achnatherum,Achnatherum calamagrostis,LC,,NT,['B'],LC,
22,2800,Lamiaceae,Acinos,Acinos alpinus,LC,,LC,,-,
23,2900,Lamiaceae,Acinos,Acinos arvensis,LC,,LC,,LC,
24,3100,Ranunculaceae,Aconitum,Aconitum anthora,VU,['D'],VU,['D'],-,
25,3510,Ranunculaceae,Aconitum,Aconitum lycoctonum,LC,,LC,,LC,
26,3520,Ranunculaceae,Aconitum,Aconitum lycoctonum subsp. neapolitanum,LC,,LC,,LC,
27,3530,Ranunculaceae,Aconitum,Aconitum lycoctonum subsp. vulparia,LC,,LC,,NT,['B']
28,3540,Ranunculaceae,Aconitum,Aconitum napellus,LC,,LC,,NT,['C']
29,3560,Ranunculaceae,Aconitum,Aconitum napellus subsp. lusitanicum,LC,,LC,,VU,['C']
30,3570,Ranunculaceae,Aconitum,Aconitum napellus subsp. tauricum,VU,['D'],-,,-,
31,3580,Ranunculaceae,Aconitum,Aconitum napellus subsp. vulgare,LC,,LC,,NT,['D']
32,4390,Ranunculaceae,Aconitum,Aconitum variegatum,LC,,-,,-,
33,4600,Ranunculaceae,Aconitum,Aconitum variegatum subsp. paniculatum,LC,,-,,-,
34,4700,Ranunculaceae,Aconitum,Aconitum variegatum subsp. rostratum,NT,['C'],-,,-,
35,4800,Ranunculaceae,Aconitum,Aconitum variegatum subsp. valesiacum,LC,,-,,-,
36,4400,Ranunculaceae,Aconitum,Aconitum variegatum subsp. variegatum,VU,['D'],-,,-,
37,5200,Ranunculaceae,Actaea,Actaea spicata,LC,,LC,,LC,
38,5300,Campanulaceae,Adenophora,Adenophora liliifolia,CR,['D'],-,,-,
39,5400,Asteraceae,Adenostyles,Adenostyles alliariae,LC,,LC,,NT,['C']
40,5450,Asteraceae,Adenostyles,Adenostyles alpina,LC,,LC,,NT,['C']
41,5600,Asteraceae,Adenostyles,Adenostyles leucophylla,LC,,-,,-,
42,5700,Pteridaceae,Adiantum,Adiantum capillus-veneris,VU,['C'],EN,['C'],CR(PE),
43,5800,Ranunculaceae,Adonis,Adonis aestivalis,VU,"['A', 'B']",CR,"['A', 'B']",CR,"['A', 'B']"
44,6100,Ranunculaceae,Adonis,Adonis flammea,EN,"['A', 'B', ' B2ab(ii,iii)']",CR,['A'],CR,['A']
